movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
Day of the Dead Bloodline,Day of the Dead: Bloodline,2018,"Day of the Dead: Bloodline is a movie starring Sophie Skelton, Johnathon Schaech, and Jeff Gum. A small group of military personnel and survivalists dwell in an underground bunker as they seek to find a cure in a world overrun by...",https://www.imdb.com/video/imdb/vi2816849945,tt3053228,3.4,,-1,NA
Devil's Gate,NA,2018,NA,NA,NA,-1,29,-1,NA
Django,NA,2018,NA,NA,NA,-1,59,A-,NA
In Between,NA,2018,NA,NA,NA,-1,98,A-,NA
Insidious 4 The Last Key,Insidious: The Last Key,2018,"Insidious: The Last Key is a movie starring Lin Shaye, Leigh Whannell, and Angus Sampson. Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home,...",https://www.imdb.com/video/imdb/vi1090959641,tt5726086,5.7,,-1,NA
The Strange Ones,One Strange Rock,2018,"One Strange Rock is a TV series starring Will Smith, Chris Hadfield, and Jerry Linenger. The extraordinary story of Earth and why it is special and uniquely brimming with life among a largely unknown but harsh cosmic arena;...",https://www.imdb.com/video/imdb/vi878820633,tt7651892,8.9,56,-1,NA
1987 When the Day Comes,NA,2018,NA,NA,NA,-1,89,-1,NA
A Demon Within,NA,2018,NA,NA,NA,-1,,-1,NA
Abe and Phil's Last Poker Game,NA,2018,NA,NA,NA,-1,73,-1,NA
Acts of Violence,Acts of Violence,2018,"Acts of Violence is a movie starring Bruce Willis, Cole Hauser, and Shawn Ashmore. At a bachelorette party in a nightclub, the bride tells 2 guys offering blow to go away. They abduct her. The groom's 2 big brothers looked after...",https://www.imdb.com/video/imdb/vi3117004825,tt6684714,5.2,,-1,NA
Condorito The Movie,NA,2018,NA,NA,NA,-1,,-1,NA
Freak Show,NA,2018,NA,NA,NA,-1,50,-1,NA
Humor Me,NA,2018,NA,NA,NA,-1,67,-1,NA
Inside,NA,2018,NA,NA,NA,-1,28,A,NA
My Art,NA,2018,NA,NA,NA,-1,63,-1,NA
Paddington 2,NA,2018,NA,NA,NA,-1,100,A,NA
Parchi,Parchi,2018,"Parchi is a movie starring Hareem Farooq, Ali Rehman Khan, and Ahmed Ali Akbar. A group of friends find themselves in trouble when one receives a chit from the gangster that he owes money to.",https://www.imdb.com/video/imdb/vi2963978265,tt7592758,5.6,,-1,NA
Proud Mary,Proud Mary,2018,"Proud Mary is a movie starring Taraji P. Henson, Billy Brown, and Jahi Di'Allo Winston. Mary (Taraji P. Henson) is a hit woman working for an organized crime family in Boston, whose life is completely turned around when she meets a...",https://www.imdb.com/video/imdb/vi1926150425,tt6421110,4.9,28,B+,NA
Saturday Church,NA,2018,NA,NA,NA,-1,93,-1,NA
The Commuter,The Commuter,2018,"The Commuter is a movie starring Liam Neeson, Vera Farmiga, and Patrick Wilson. An Insurance Salesman/Ex-Cop is caught up in a criminal conspiracy during his daily commute home.",https://www.imdb.com/video/imdb/vi1300019481,tt1590193,6.3,56,-1,NA
The Lucky Man,The Lucky Man,2018,"The Lucky Man is a movie starring Jesse James, Burton Gilliam, and Mariana Paola Vicente. A young charismatic preacher and his hot Latina girlfriend travel Route 66 scamming the small churches along the way only to find that the...",https://www.imdb.com/video/imdb/vi3237787673,tt3458760,5.6,,-1,NA
Vazante,NA,2018,NA,NA,NA,-1,88,-1,NA
Wastelander,Wastelander,2018,"Wastelander is a movie starring Brendan Guy Murphy, Carol Cardenas, and Jon Proudstar. Nothing Can Save Humanity From Itself",https://www.imdb.com/video/imdb/vi1423620121,tt2651724,2.6,,-1,NA
