movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
Aga,Ága,2019,"Ága is a movie starring Mikhail Aprosimov, Feodosia Ivanova, and Sergei Egorov. In a yurt on the snow-covered fields of the North, Nanook and Sedna live following the traditions of their ancestors. Alone in the wilderness, they look...",https://www.imdb.com/video/imdb/vi1507310873,tt7909444,7.5,94,Cinemascore,NA
Blink Of An Eye,Blink of an Eye,2019,"Blink of an Eye is a movie starring Dale Earnhardt Jr., Richard Petty, and Darrell Waltrip. An inside look at 2001's Daytona 500 featuring Michael Waltrip and Dale Earnhardt Jr.",https://www.imdb.com/video/imdb/vi337624089,tt10132048,7.8,67,Cinemascore,NA
Edie,Edie,2019,"Edie is a movie starring Sheila Hancock, Kevin Guthrie, and Paul Brannigan. 83 year old Edie believes that it is never too late - packing an old camping bag, leaving her life behind and embarking on an adventure she never got to...",NA,tt3823098,6.5,63,Cinemascore,NA
I'm Leaving Now,I'm Leaving Now,2019,"I'm Leaving Now is a movie starring Felipe Hernández. After 16 years in Brooklyn, working three low-paying jobs and collecting bottles on the street in his spare time and sending the bulk of his earnings home to his family in...",https://www.imdb.com/video/imdb/vi732872473,tt4384500,7.3,60,Cinemascore,NA
It Chapter 2,It Chapter Two,2019,"It Chapter Two is a movie starring Jessica Chastain, James McAvoy, and Bill Hader. Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone...",https://www.imdb.com/video/imdb/vi1974910745,tt7349950,7.0,,Cinemascore,NA
Linda Ronstadt: The Sound of My Voice,Linda Ronstadt: The Sound of My Voice,2019,"Linda Ronstadt: The Sound of My Voice is a movie starring Linda Ronstadt, Bonnie Raitt, and Dolly Parton. With one of the most memorably stunning voices that has ever hit the airwaves, Linda Ronstadt burst onto the 1960s folk rock...",https://www.imdb.com/video/imdb/vi2171190297,tt10011448,8.3,88,Cinemascore,NA
Mr. Klein (2019 Re-Release),NA,2019,NA,NA,NA,NA,,Cinemascore,NA
Ms. Purple,Ms. Purple,2019,"Ms. Purple is a movie starring Jake Choi, Tiffany Chu, and Crystal Lee. A young woman who works as a karaoke hostess in Koreatown reconnects with her estranged brother in the final days of their father's life.",https://www.imdb.com/video/imdb/vi3326393369,tt7983890,7.0,,Cinemascore,NA
Rapid Response,Rapid Response,2019,"Rapid Response is a movie starring Stephen Olvey, Terry Trammell, and Mario Andretti. In 1966 Medical student and racing fan Stephen Olvey gets the opportunity of a lifetime when he is asked to volunteer at the Indianapolis 500 on...",https://www.imdb.com/video/imdb/vi2010692633,tt10276114,6.2,64,Cinemascore,NA
"Say Amen, Somebody",NA,2019,NA,NA,NA,NA,91,Cinemascore,NA
Chained For Life,Chained for Life,2019,"Chained for Life is a movie starring Jess Weixler, Adam Pearson, and Stephen Plunkett. A beautiful actress struggles to connect with her disfigured co-star on the set of a European auteur's English-language debut.",https://www.imdb.com/video/imdb/vi2701442073,tt6753132,7.2,100,Cinemascore,NA
Another Day Of Life,Another Day of Life,2019,"Another Day of Life is a movie starring Miroslaw Haniszewski, Vergil J. Smith, and Tomasz Zietek. A gripping story of a three-month-long journey that renowned Polish reporter Ryszard Kapuscinski took across Angola ravaged by a war...",https://www.imdb.com/video/imdb/vi2868427289,tt2967856,7.3,88,Cinemascore,NA
Chasing Einstein,Chasing Einstein,2019,"Chasing Einstein is a movie starring Elena Aprile, Barry Barish, and Laura Baudis. Nobody has managed to topple Einstein's theory of relativity, even though it leads to the shocking conclusion that most of the universe must be made...",https://www.imdb.com/video/imdb/vi2042478361,tt9799626,7.4,,Cinemascore,NA
Cracked Up,Cracked Up,2019,"Cracked Up is a movie starring Darrell Hammond. In Cracked Up we witness the effects adverse childhood experiences can have across a lifetime through the incredible story of actor, comedian, master impressionist and Saturday Night...",NA,tt5165880,NA,,Cinemascore,NA
Depraved,Depraved,2019,"Depraved is a movie starring David Call, Joshua Leonard, and Alex Breaux. A disillusioned field surgeon suffering from PTSD makes a man out of body parts and brings him to life in a Brooklyn loft.",https://www.imdb.com/video/imdb/vi3149184281,tt7946216,4.6,88,Cinemascore,NA
Desolation Center,Desolation Center,2019,"Desolation Center is a movie starring Anthony Ausgang, Joe Baiza, and Bob Bert. The story of a group of 1980s punk artists who started organizing and playing desert shows that later inspired Burning Man, Coachella, and Lollapalooza.",NA,tt7130802,7.3,100,Cinemascore,NA
Freaks,Freaks,2019,"Freaks is a movie starring Emile Hirsch, Bruce Dern, and Grace Park. A bold girl discovers a bizarre, threatening, and mysterious new world beyond her front door after she escapes her father's protective and paranoid control.",https://www.imdb.com/video/imdb/vi2870918169,tt8781414,6.9,87,Cinemascore,NA
Hustlers,Hustlers,2019,"Hustlers is a movie starring Constance Wu, Jennifer Lopez, and Julia Stiles. Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their...",https://www.imdb.com/video/imdb/vi2881470233,tt5503686,6.6,88,Cinemascore,NA
Imprisoned,Imprisoned,2019,"Imprisoned is a movie starring Laurence Fishburne, Fernanda Urrejola, and Esai Morales. In the thriller, IMPRISONED, Dylan Burke (Juan Pablo Raba), attempts to move on from his former life as a criminal, with his true love, Maria...",NA,tt6071092,6.7,,Cinemascore,NA
Liam Gallagher: As It Was,Liam: As It Was,2019,"Liam: As It Was is a movie starring Liam Gallagher, David Adcock, and Debbie Gwyther. Documentary following musician Liam Gallagher, as he attempts to make a solo comeback.",https://www.imdb.com/video/imdb/vi634502169,tt10215424,7.0,58,Cinemascore,NA
Monos,Monos,2019,"Monos is a movie starring Sofia Buenaventura, Moises Arias, and Julianne Nicholson. On a faraway mountaintop, eight kids with guns watch over a hostage and a conscripted milk cow.",https://www.imdb.com/video/imdb/vi2466561049,tt6062774,7.4,93,Cinemascore,NA
Moonlight Sonata,Moonlight Sonata: Deafness in Three Movements,2019,NA,NA,tt9135318,7.4,,Cinemascore,NA
One Cut of the Dead,Kamera o tomeru na!,2019,"Kamera o tomeru na! is a movie starring Takayuki Hamatsu, Yuzuki Akiyama, and Harumi Shuhama. Things go badly for a hack director and film crew shooting a low budget zombie movie in an abandoned WWII Japanese facility, when they are...",https://www.imdb.com/video/imdb/vi1209645849,tt7914416,7.7,100,Cinemascore,NA
Out Of Liberty,Out of Liberty,2019,"Out of Liberty is a movie starring Corbin Allred, Larry Bagby, and Casey Elliott. Winter 1839. LIBERTY, MISSOURI. Local jailer, Samuel Tillery (Jasen Wade) is tasked with watching Missouri's most wanted men as they await their...",NA,tt9844368,8.7,,Cinemascore,NA
The Goldfinch,The Goldfinch,2019,"The Goldfinch is a movie starring Oakes Fegley, Ansel Elgort, and Nicole Kidman. A boy in New York is taken in by a wealthy Upper East Side family after his mother is killed in a bombing at the Metropolitan Museum of Art.",https://www.imdb.com/video/imdb/vi1449638937,tt3864056,6.3,24,Cinemascore,NA
The Harvesters,Die Stropers,2019,"Die Stropers is a movie starring Brent Vermeulen, Alex van Dyk, and Juliana Venter. South Africa, Free State region, isolated stronghold to the Afrikaans white ethnic minority culture. In this conservative farming territory obsessed...",https://www.imdb.com/video/imdb/vi3288579097,tt8144850,6.3,91,Cinemascore,NA
